Gene	GeneSymbol	Chr	start	end	band	cytoband	isCentromer	Position	new_positions
DDX11L1	DDX11L1	1	11869	14409	p36.33	1p	no	13139	1
WASH7P	WASH7P	1	14404	29570	p36.33	1p	no	21987	2
MIR6859-1	MIR6859-1	1	17369	17436	p36.33	1p	no	17402.5	3
MIR1302-2HG	MIR1302-2HG	1	29554	31109	p36.33	1p	no	30331.5	4
MIR1302-2	MIR1302-2	1	30366	30503	p36.33	1p	no	30434.5	5
FAM138A	FAM138A	1	34554	36081	p36.33	1p	no	35317.5	6
OR4G4P	OR4G4P	1	52473	53312	p36.33	1p	no	52892.5	7
OR4G11P	OR4G11P	1	57598	64116	p36.33	1p	no	60857	8
OR4F5	OR4F5	1	65419	71585	p36.33	1p	no	68502	9
CICP27	CICP27	1	131025	134836	p36.33	1p	no	132930.5	10
RNU6-1100P	RNU6-1100P	1	157784	157887	p36.33	1p	no	157835.5	11
DDX11L17	DDX11L17	1	182696	184174	p36.33	1p	no	183435	12
WASH9P	WASH9P	1	185217	195411	p36.33	1p	no	190314	13
RPL23AP24	RPL23AP24	1	347982	348366	p36.33	1p	no	348174	14
WBP1LP7	WBP1LP7	1	439870	440232	p36.33	1p	no	440051	15
OR4F29	OR4F29	1	450740	451678	p36.33	1p	no	451209	16
CICP7	CICP7	1	487101	489906	p36.33	1p	no	488503.5	17
MTND1P23	MTND1P23	1	629062	629433	p36.33	1p	no	629247.5	18
MTND2P28	MTND2P28	1	629640	630683	p36.33	1p	no	630161.5	19
MTCO1P12	MTCO1P12	1	631074	632616	p36.33	1p	no	631845	20
MTCO2P12	MTCO2P12	1	632757	633438	p36.33	1p	no	633097.5	21
MTATP8P1	MTATP8P1	1	633535	633741	p36.33	1p	no	633638	22
MTATP6P1	MTATP6P1	1	633696	634376	p36.33	1p	no	634036	23
MTCO3P12	MTCO3P12	1	634376	634922	p36.33	1p	no	634649	24
WBP1LP6	WBP1LP6	1	674842	675265	p36.33	1p	no	675053.5	25
OR4F16	OR4F16	1	685716	686654	p36.33	1p	no	686185	26
CICP3	CICP3	1	722092	724903	p36.33	1p	no	723497.5	27
RNU6-1199P	RNU6-1199P	1	758233	758336	p36.33	1p	no	758284.5	28
LINC01409	LINC01409	1	778747	810065	p36.33	1p	no	794406	29
FAM87B	FAM87B	1	817371	819837	p36.33	1p	no	818604	30
LINC01128	LINC01128	1	825138	859446	p36.33	1p	no	842292	31
LINC00115	LINC00115	1	826206	827522	p36.33	1p	no	826864	32
FAM41C	FAM41C	1	868071	876903	p36.33	1p	no	872487	33
TUBB8P11	TUBB8P11	1	873292	874349	p36.33	1p	no	873820.5	34
LINC02593	LINC02593	1	916865	921016	p36.33	1p	no	918940.5	35
SAMD11	SAMD11	1	923923	944575	p36.33	1p	no	934249	36
NOC2L	NOC2L	1	944203	959309	p36.33	1p	no	951756	37
KLHL17	KLHL17	1	960584	965719	p36.33	1p	no	963151.5	38
PLEKHN1	PLEKHN1	1	966482	975865	p36.33	1p	no	971173.5	39
PERM1	PERM1	1	975204	982093	p36.33	1p	no	978648.5	40
HES4	HES4	1	998962	1000172	p36.33	1p	no	999567	41
ISG15	ISG15	1	1001138	1014540	p36.33	1p	no	1007839	42
AGRN	AGRN	1	1020120	1056118	p36.33	1p	no	1038119	43
RNF223	RNF223	1	1070967	1074306	p36.33	1p	no	1072636.5	44
C1orf159	C1orf159	1	1081818	1116361	p36.33	1p	no	1099089.5	45
LINC01342	LINC01342	1	1137017	1144056	p36.33	1p	no	1140536.5	46
MIR200B	MIR200B	1	1167104	1167198	p36.33	1p	no	1167151	47
MIR200A	MIR200A	1	1167863	1167952	p36.33	1p	no	1167907.5	48
MIR429	MIR429	1	1169005	1169087	p36.33	1p	no	1169046	49
TTLL10-AS1	TTLL10-AS1	1	1173056	1179555	p36.33	1p	no	1176305.5	50
TTLL10	TTLL10	1	1173880	1197936	p36.33	1p	no	1185908	51
TNFRSF18	TNFRSF18	1	1203508	1206592	p36.33	1p	no	1205050	52
TNFRSF4	TNFRSF4	1	1211340	1214153	p36.33	1p	no	1212746.5	53
SDF4	SDF4	1	1216909	1232067	p36.33	1p	no	1224488	54
B3GALT6	B3GALT6	1	1232237	1235041	p36.33	1p	no	1233639	55
